ETANOL HIDRATADO (m3),2002,RIO GRANDE DO SUL,m3,1,14444.236,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,SANTA CATARINA,m3,1,12694.95,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,DISTRITO FEDERAL,m3,1,8073.394,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,GOIÁS,m3,1,13793.033,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,MATO GROSSO,m3,1,4807.699,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,MATO GROSSO DO SUL,m3,1,6193.85,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,ALAGOAS,m3,1,1653.144,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,BAHIA,m3,1,4603.002,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,CEARÁ,m3,1,3703.483,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,MARANHÃO,m3,1,1064.809,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,PARAÍBA,m3,1,2538.337,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,PERNAMBUCO,m3,1,5251.504,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,PIAUÍ,m3,1,1633.415,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,RIO GRANDE DO NORTE,m3,1,1886.216,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,SERGIPE,m3,1,1608.445,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,ACRE,m3,1,250.298,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,AMAPÁ,m3,1,102.05,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,AMAZONAS,m3,1,1663.503,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,PARÁ,m3,1,1157.944,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,RONDÔNIA,m3,1,1362.706,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,RORAIMA,m3,1,75.0,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,TOCANTINS,m3,1,1167.107,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,ESPÍRITO SANTO,m3,1,4281.775,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,MINAS GERAIS,m3,1,39539.43,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,RIO DE JANEIRO,m3,1,16895.755,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,SÃO PAULO,m3,1,127923.807,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,PARANÁ,m3,1,30497.867,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,RIO GRANDE DO SUL,m3,1,14469.2,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2003,SANTA CATARINA,m3,1,15185.845,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2004,DISTRITO FEDERAL,m3,1,5808.022,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2004,GOIÁS,m3,1,13410.85,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2004,MATO GROSSO,m3,1,4838.856,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2004,MATO GROSSO DO SUL,m3,1,5447.56,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2004,ALAGOAS,m3,1,1698.794,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2004,BAHIA,m3,1,5201.793,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2004,CEARÁ,m3,1,2683.39,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2004,MARANHÃO,m3,1,713.374,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2004,PARAÍBA,m3,1,2536.021,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2004,PERNAMBUCO,m3,1,5250.536,2019-12-24 13:19:21.764196
